symbol,lonaName,shortName,Acronym,Sector,Announced Date,Due Date,Distribution Date,Amount,Distribution Way
1030,Saudi Investment Bank,SAIB,SAIB,Banks,2021-12-22,2022-02-01,2022-02-10,0.7,Account Transfer
1080,Arab National Bank,ANB,ANB,Banks,2021-12-22,2022-04-12,2022-04-21,0.45,Account Transfer
2290,Yanbu National Petrochemical Co.,YANSAB,YANSAB,Materials,2021-12-23,2022-03-23,2022-03-30,1.5,Account Transfer
2230,Saudi Chemical Co.,CHEMICAL,CHEMICAL,Health Care Equipment & Svc,2021-12-23,2022-01-23,2022-02-03,0.5,Account Transfer
1050,Banque Saudi Fransi,BSFR,BSFR,Banks,2021-12-23,2022-06-12,2022-06-30,0.85,Account Transfer
4344,SEDCO Capital REIT Fund,SEDCO CAPITAL REIT,SEDCO CAPITAL REIT,REITs,2021-12-27,2021-12-28,2022-01-20,0.1625,Account Transfer
1302,Bawan Co.,BAWAN,BAWAN,Capital Goods,2021-12-28,2022-01-23,2022-02-06,0.75,Account Transfer
4050,Saudi Automotive Services Co.,SASCO,SASCO,Retailing,2021-12-28,2022-01-02,2022-01-17,0.2,Account Transfer
6001,Halwani Bros. Co.,HB,HB,Food & Beverages,2021-12-29,2022-04-19,2022-05-11,2,Account Transfer
4337,SICO Saudi REIT Fund,SICO SAUDI REIT,SICO SAUDI REIT,REITs,2021-12-30,2022-01-04,2022-01-24,0.15,Account Transfer
1150,Alinma Bank,ALINMA,ALINMA,Banks,2021-12-30,2022-04-13,2022-04-25,0.4,Account Transfer
4339,Derayah REIT Fund,DERAYAH REIT,DERAYAH REIT,REITs,2022-01-02,2022-01-16,2022-02-13,0.18,Account Transfer
2150,The National Company for Glass Industries,ZOUJAJ,ZOUJAJ,Materials,2022-01-03,2022-01-16,2022-01-30,0.5,Account Transfer
2270,Saudia Dairy and Foodstuff Co.,SADAFCO,SADAFCO,Food & Beverages,2022-01-04,2022-01-06,2022-01-25,3,Account Transfer
4336,Mulkia Gulf Real Estate REIT,MULKIA REIT,MULKIA REIT,REITs,2022-01-17,2022-01-24,2022-02-03,0.18,Account Transfer
4002,Mouwasat Medical Services Co.,MOUWASAT,MOUWASAT,Health Care Equipment & Svc,2022-01-17,2022-05-09,2022-05-19,2.75,Account Transfer
4200,Aldrees Petroleum and Transport Services Co.,ALDREES,ALDREES,Energy,2022-01-18,2022-02-28,2022-03-14,1.5,Account Transfer
